Id,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,SalePrice
79,1768,0,0,2,0,4,136500
80,1230,0,0,1,1,2,110000
81,2142,0,0,2,1,4,193500
82,1337,1,0,2,0,2,153500
83,1563,0,0,2,0,3,245000
84,1065,0,0,1,1,3,126500
85,1474,0,0,2,1,3,168500
86,2417,0,0,2,1,4,260000
87,1560,0,0,2,1,3,174000
88,1224,0,0,2,1,2,164500
89,1526,0,0,1,0,2,85000
90,990,1,0,1,0,3,123600
91,1040,0,0,1,0,2,109900
92,1235,0,0,1,0,2,98600
93,964,1,0,1,0,2,163500
94,2291,0,1,2,0,4,133900
95,1786,1,0,2,1,3,204750
96,1470,0,0,2,1,3,185000
97,1588,0,0,2,0,3,214000
98,960,1,0,1,0,3,94750
99,835,0,0,1,0,2,83000
100,1225,1,0,1,1,3,128950
101,1610,1,0,2,0,3,205000
102,1732,0,0,2,1,3,178000
103,1535,0,0,2,0,4,118964
104,1226,0,0,2,0,3,198900
105,1818,0,0,1,1,4,169500
106,1992,0,0,2,1,3,250000
107,1047,0,0,1,0,2,100000
108,789,0,0,1,0,2,115000
109,1517,0,0,2,0,3,115000
110,1844,0,0,2,0,3,190000
111,1855,0,0,2,0,4,136900
112,1430,0,0,2,1,3,180000
113,2696,1,0,2,1,4,383970
114,2259,1,0,2,0,3,217000
115,2320,1,0,2,1,3,259500
116,1458,0,0,2,1,2,176000
117,1092,0,1,1,0,3,139000
118,1125,0,0,1,1,2,155000
119,3222,1,0,3,0,5,320000
120,1456,0,0,2,1,3,163990
121,988,1,0,1,0,1,180000
122,1123,0,0,1,0,3,100000
123,1080,0,0,1,0,3,136000
124,1199,0,0,2,0,2,153900
125,1586,0,0,2,0,3,181000
126,754,1,0,1,0,2,84500
127,958,0,0,2,0,2,128000
128,840,0,0,1,0,3,87000
129,1348,0,0,1,1,3,155000
130,1053,0,1,1,1,3,150000
131,2157,0,0,2,1,4,226000
132,2054,1,0,2,1,3,244000
133,1327,1,0,1,0,3,150750
134,1296,1,0,2,0,2,220000
135,1721,0,0,2,1,3,180000
136,1682,0,0,2,0,3,174000
137,1214,0,0,2,0,3,143000
138,1959,0,0,3,0,5,171000
139,1852,0,0,2,1,3,230000
140,1764,1,0,2,1,3,231500
141,864,0,0,1,0,3,115000
142,1734,1,0,2,0,3,260000
143,1385,0,0,2,0,4,166000
144,1501,1,0,2,0,3,204000
145,1728,1,0,2,0,6,125000
146,1709,0,0,2,0,3,130000
147,875,1,0,1,0,2,105000
148,2035,0,0,2,1,3,222500
149,1080,1,0,1,0,3,141000
150,1344,0,0,1,0,3,115000
151,969,0,0,1,1,3,122000
152,1710,1,0,2,0,2,372402
153,1993,0,0,2,1,4,190000
154,1252,1,0,1,0,1,235000
155,1200,0,0,1,0,4,125000
156,1096,0,0,1,0,2,79000
157,1040,0,0,1,0,2,109500
158,1968,0,0,2,1,4,269500
159,1947,0,0,2,1,3,254900
160,2462,1,0,2,1,4,320000
161,1232,0,0,2,0,3,162500
162,2668,1,0,2,1,3,412500
163,1541,0,0,2,0,3,220000
164,882,0,0,1,0,1,103200
165,1616,0,0,2,0,3,152000
166,1355,1,0,2,0,4,127500
167,1867,1,0,1,0,2,190000
168,2161,1,0,1,1,3,325624
169,1720,0,0,2,1,3,183500
170,1707,0,0,2,1,2,228000
171,1382,0,0,1,1,2,128500
172,1656,1,0,1,0,3,215000
173,1767,1,0,2,0,2,239000
174,1362,1,0,1,1,3,163000
175,1651,1,0,2,0,3,184000
176,2158,1,0,2,0,4,243000
177,2060,0,1,2,1,4,211000
178,1920,1,0,2,0,4,172500
179,2234,1,0,2,0,1,501837
180,968,0,0,1,0,2,100000
181,1525,0,0,2,1,3,177000
182,1802,0,0,1,1,4,200100
183,1340,0,0,1,0,3,120000
184,2082,0,0,2,1,3,200000
185,1252,0,0,1,0,3,127000
186,3608,0,0,2,1,4,475000
187,1217,1,0,2,0,3,173000
188,1656,0,0,2,1,3,135000
189,1224,2,0,0,2,2,153337
190,1593,1,0,1,1,0,286000
191,2727,0,0,2,1,3,315000
192,1479,1,0,1,1,4,184000
193,1431,1,0,2,0,3,192000
194,1709,0,0,2,0,3,130000
195,864,0,0,1,0,3,127000
196,1456,0,0,2,1,3,148500
197,1726,1,0,2,0,3,311872
198,3112,1,1,2,0,4,235000
199,2229,0,0,1,0,5,104000
200,1713,1,0,2,0,3,274900
201,1121,0,0,2,0,2,140000
202,1279,0,1,2,0,3,171500
203,1310,0,0,2,0,2,112000
204,848,1,0,1,0,1,149000
205,1284,0,0,1,1,2,110000
206,1442,0,0,2,0,3,180500
207,1696,0,0,1,1,3,143900
208,1100,1,0,1,0,3,141000
209,2062,1,0,2,1,3,277000
210,1092,1,0,1,0,3,145000
211,864,1,0,1,0,2,98000
212,1212,0,0,2,0,3,186000
213,1852,1,0,2,1,3,252678
214,990,0,1,1,0,3,156000
215,1392,0,0,1,1,3,161750
216,1236,0,1,1,0,2,134450
217,1436,1,0,2,0,3,210000
218,1328,0,0,1,0,3,107000
219,1954,0,1,1,1,3,311500
220,1248,0,0,2,0,2,167240
221,1498,0,0,2,0,2,204900
222,2267,0,0,2,1,4,200000
223,1552,1,0,2,1,3,179900
224,864,0,0,1,0,2,97000
225,2392,0,0,2,0,3,386250
226,1302,0,0,2,1,3,112000
227,2520,0,0,2,1,4,290000
228,987,0,0,1,1,2,106000
229,912,0,0,1,0,3,125000
230,1555,0,0,2,0,2,192500
231,1194,1,0,1,0,3,148000
232,2794,1,0,2,1,4,403000
233,987,0,0,1,1,2,94500
234,894,1,0,1,0,3,128200
235,1960,1,0,2,1,4,216500
236,987,0,0,1,1,2,89500
237,1414,0,0,2,0,3,185500
238,1744,0,0,2,1,3,194500
239,1694,0,0,2,0,3,318000
240,1487,0,0,1,1,3,113000
241,1566,1,0,2,0,3,262500
242,866,0,0,1,0,2,110500
243,1440,0,0,1,0,3,79000
244,1217,0,0,1,1,3,120000
245,2110,1,0,2,1,3,205000
246,1872,0,1,2,0,3,241500
247,1928,0,0,2,0,4,137000
248,1375,0,0,1,0,2,140000
249,1668,0,0,2,1,3,180000
250,2144,0,1,2,0,4,277000
251,1306,0,0,1,0,3,76500
252,1625,1,1,2,0,2,235000
253,1640,0,0,2,1,3,173000
254,1302,0,1,2,0,3,158000
255,1314,1,0,1,0,3,145000
256,2291,0,0,2,1,4,230000
257,1728,0,0,2,1,3,207500
258,1604,1,0,2,1,3,220000
259,1792,0,0,2,1,3,231500
260,882,0,0,1,0,2,97000
261,1382,1,0,1,0,3,176000
262,2574,0,0,2,1,3,276000
263,1212,1,0,1,0,3,151000
264,1316,1,0,1,0,3,130000
265,764,0,0,1,0,2,73000
266,1422,0,0,2,0,3,175500
267,1511,1,0,2,1,3,185000
268,2192,0,0,2,1,4,179500
269,778,0,0,1,0,2,120500
270,1113,1,0,1,1,3,148000
271,1939,0,0,2,1,3,266000
272,1363,1,0,1,0,2,241500
273,2270,0,0,2,1,4,290000
274,1632,1,0,2,0,3,139000
275,816,0,0,1,0,2,124500
276,1548,0,0,2,1,3,205000
277,1560,0,0,2,0,3,201000
278,864,0,0,1,0,2,141000
279,2121,0,0,2,1,3,415298
280,2022,0,0,2,1,4,192000
281,1982,0,0,2,1,3,228500
282,1262,0,0,2,0,2,185000
283,1314,1,0,2,0,2,207500
284,1468,0,0,2,0,3,244600
285,1575,1,0,2,0,2,179200
286,1250,0,0,2,1,2,164700
287,1734,0,0,1,1,3,159000
288,858,0,0,1,0,3,88000
289,900,0,0,1,0,3,122000
290,1396,0,0,1,0,3,153575
291,1919,0,0,2,1,3,233230
292,1716,1,0,2,0,6,135900
293,1716,0,0,1,1,3,131000
294,2263,1,0,2,1,3,235000
295,1644,1,0,1,0,3,167000
296,1003,1,0,1,0,3,142500
297,1558,0,0,1,1,4,152000
298,1950,0,0,2,1,3,239000
299,1743,0,1,1,2,3,175000
300,1152,0,1,1,0,3,158500
301,1336,1,0,1,0,2,157000
302,2452,0,0,2,1,4,267000
303,1541,0,0,2,0,3,205000
304,894,1,0,1,0,3,149900
305,3493,0,0,3,0,3,295000
306,2000,1,0,2,0,3,305900
307,2243,1,0,2,1,4,225000
308,1406,0,0,1,0,3,89500
309,861,0,0,1,0,1,82500
310,1944,1,0,2,0,3,360000
311,1501,0,0,2,1,3,165600
312,972,1,0,1,0,2,132000
313,1118,1,0,1,0,3,119900
314,2036,2,0,2,0,3,375000
315,1641,0,1,1,1,3,178000
316,1432,1,0,2,1,3,188500
317,2353,1,0,2,1,4,260000
318,1959,0,0,2,1,3,270000
319,2646,1,0,2,1,4,260000
320,1472,1,0,2,0,3,187500
321,2596,0,0,3,1,4,342643
322,2468,1,0,2,1,4,354000
323,2730,1,0,2,1,4,301000
324,1163,1,0,1,0,3,126175
325,2978,0,0,2,1,5,242000
326,803,0,0,1,0,2,87000
327,1719,2,0,1,1,1,324000
328,1383,0,0,1,1,3,145250
329,2134,0,0,2,0,5,214500
330,1192,0,0,1,0,3,78000
331,1728,0,1,2,0,6,119000
332,1056,1,0,1,0,3,139000
333,1629,1,0,2,0,3,284000
334,1358,1,0,2,0,2,207000
335,1638,1,0,2,1,3,192000
336,1786,2,0,2,0,3,228950
337,1922,1,0,2,0,3,377426
338,1536,1,0,2,0,3,214000
339,1621,1,0,2,0,3,202500
340,1215,0,0,1,0,3,155000
341,1908,0,0,2,1,4,202900
342,841,0,0,1,0,2,82000
343,1040,0,0,2,0,2,87500
344,1684,0,0,2,0,2,266000
345,1112,0,0,1,1,3,85000
346,1577,0,0,1,0,3,140200
347,958,0,0,1,0,2,151500
348,1478,1,0,2,0,3,157500
349,1626,1,0,2,1,2,154000
350,2728,1,0,2,1,4,437154
351,1869,0,0,2,0,2,318061
352,1453,1,0,1,1,2,190000
353,1111,0,1,1,0,3,95000
354,720,0,0,1,0,2,105900
355,1595,0,0,1,0,2,140000
356,1200,1,0,2,0,3,177500
357,1167,1,0,2,0,3,173000
358,1142,1,0,1,1,3,134000
359,1352,0,1,1,0,3,130000
360,1924,1,0,2,1,3,280000
361,912,1,0,1,0,2,156000
362,1505,1,0,1,0,3,145000
363,1922,0,0,3,0,4,198500
364,987,0,0,1,1,2,118000
365,1574,1,0,2,1,3,190000
366,1344,0,0,1,0,3,147000
367,1394,1,0,1,1,3,159000
368,1431,0,1,1,0,3,165000
369,1268,0,0,1,0,2,132000
370,1287,1,0,1,0,3,162000
371,1664,0,0,2,1,3,172400
372,1588,0,0,2,0,4,134432
373,752,1,0,1,0,2,125000
374,1319,1,0,1,0,3,123000
375,1928,0,0,2,1,4,219500
376,904,1,0,0,1,1,61000
377,914,0,0,1,0,2,148000
378,2466,0,0,3,0,4,340000
379,1856,1,0,1,1,1,394432
380,1800,0,0,2,1,3,179000
381,1691,0,0,2,0,3,127000
382,1301,1,0,2,0,2,187750
383,1797,0,0,2,1,3,213500
384,784,0,0,1,0,2,76000
385,1953,1,0,2,1,3,240000
386,1269,0,0,2,0,2,192000
387,1184,0,0,1,0,5,81000
388,1125,1,0,1,0,3,125000
389,1479,0,0,2,0,3,191000
390,2332,1,0,2,1,3,426000
391,1367,1,0,1,0,4,119000
392,1961,1,0,2,1,3,215000
393,882,0,0,1,0,3,106500
394,788,0,0,1,0,2,100000
395,1034,0,0,1,0,2,109000
396,1144,1,0,1,0,3,129000
397,894,0,0,1,0,2,123000
398,1812,0,0,2,0,4,169500
399,1077,0,0,1,0,2,67000
400,1550,1,0,2,0,2,241000
401,1288,1,0,1,1,1,245500
402,1310,0,0,2,0,3,164990
403,672,0,0,1,0,2,108000
404,2263,0,0,2,1,4,258000
405,1572,0,0,2,1,3,168000
406,1620,1,0,2,0,3,150000
407,1639,0,0,1,0,3,115000
408,1680,0,0,2,0,4,177000
409,2172,0,0,2,1,3,280000
410,2078,1,0,2,1,3,339750
411,1276,0,0,1,0,3,60000
412,1056,1,0,1,0,3,145000
413,1478,1,0,2,1,2,222000
414,1028,0,0,1,0,2,115000
415,2097,0,1,2,1,3,228000
416,1340,0,0,2,0,3,181134
417,1400,0,0,1,1,3,149500
418,2624,1,0,2,1,4,239000
419,1134,1,0,1,1,3,126000
420,1056,1,0,1,0,3,142000
421,1344,2,0,2,0,2,206300
422,1602,0,1,2,0,3,215000
423,988,0,0,1,0,2,113000
424,2630,1,0,2,1,4,315000
425,1196,1,0,1,0,2,139000
426,1389,0,0,1,1,3,135000
427,1644,1,1,2,0,2,275000
428,907,0,0,1,0,3,109008
429,1208,1,0,2,0,2,195400
430,1412,1,0,2,0,3,175000
431,987,0,0,1,1,2,85400
432,1198,0,0,1,0,4,79900
433,1365,1,0,1,1,2,122500
434,1604,0,0,2,1,3,181000
435,630,1,0,1,0,1,81000
436,1661,1,0,2,1,3,212000
437,1118,0,0,1,0,2,116000
438,904,0,0,1,0,2,119000
439,694,0,0,1,0,2,90350
440,1196,0,0,1,0,3,110000
441,2402,1,0,2,0,2,555000
442,1440,0,0,2,0,4,118000
443,1573,0,0,2,0,3,162900
444,1258,0,0,2,0,2,172500
445,1908,1,0,2,1,4,210000
446,1689,0,0,1,0,3,127500
447,1888,0,0,2,1,2,190000
448,1886,0,0,2,1,4,199900
449,1376,0,0,2,0,3,119500
450,1183,0,0,1,1,2,120000
451,813,0,0,1,0,2,110000
452,1533,1,0,2,0,2,280000
453,1756,1,0,2,1,3,204000
454,1590,0,0,2,1,3,210000
455,1728,2,0,2,0,4,188000
456,1242,0,0,1,1,3,175500
457,1344,0,0,1,0,4,98000
458,1663,1,0,1,0,2,256000
459,1666,0,0,1,0,3,161000
460,1203,1,0,1,0,3,110000
461,1935,1,0,2,1,3,263435
462,1135,1,0,1,0,3,155000
463,864,0,0,1,0,3,62383
464,1660,0,0,1,1,3,188700
465,1040,0,0,2,0,3,124000
466,1414,0,0,2,0,2,178740
467,1277,1,0,1,0,2,167000
468,1644,0,0,1,1,3,146500
469,1634,0,0,2,0,3,250000
470,1710,0,0,2,1,3,187000
471,1502,1,0,1,1,1,212000
472,1969,0,0,2,1,3,190000
473,1072,1,0,1,0,2,148000
474,1976,1,0,2,0,2,440000
475,1652,1,0,2,0,2,251000
476,970,1,0,1,0,2,132500
477,1493,1,0,2,0,3,208900
478,2643,0,0,2,1,3,380000
479,1718,1,0,2,0,3,297000
480,1131,0,0,1,0,2,89471
481,1850,1,0,2,0,3,326000
482,1792,1,0,2,0,2,374000
483,1826,1,0,1,1,4,155000
484,1216,1,0,2,0,2,164000
485,999,1,0,1,0,3,132500
486,1113,0,0,1,0,3,147000
487,1073,1,0,1,1,3,156000
488,1484,0,0,2,0,3,175000
489,2414,0,0,2,0,3,160000
490,630,1,0,1,0,1,86000
491,1304,0,0,1,1,3,115000
492,1578,1,0,1,0,3,133000
493,1456,0,0,2,1,3,172785
494,1269,0,0,1,1,3,155000
495,886,0,0,1,0,2,91300
496,720,0,0,1,0,2,34900
497,3228,1,0,3,0,4,430000
498,1820,1,0,2,0,4,184000
499,899,0,0,1,0,3,130000
500,912,0,1,1,0,2,120000
501,1218,0,0,1,1,3,113000
502,1768,0,0,2,1,3,226700
503,1214,1,0,1,0,2,140000
504,1801,1,0,2,0,1,289000
505,1322,0,1,2,1,3,147000
506,1960,0,0,2,0,4,124500
507,1911,0,0,2,1,3,215000
508,1218,0,0,2,0,2,208300
509,1378,0,0,2,0,3,161000
510,1041,1,0,1,0,3,124500
511,1363,1,0,1,0,2,164900
512,1368,0,0,2,0,2,202665
513,864,1,0,1,0,3,129900
514,1080,0,0,1,1,3,134000
515,789,0,0,1,0,2,96500
516,2020,1,0,2,1,3,402861
517,2119,0,0,2,1,3,158000
518,2344,0,0,2,1,3,265000
519,1796,1,0,2,1,3,211000
520,2080,0,0,1,1,3,234000
521,1294,0,0,2,0,3,106250
522,1244,0,0,1,1,3,150000
523,1664,0,0,2,0,3,159000
524,4676,1,0,3,1,3,184750
525,2398,1,0,2,1,3,315750
526,1266,0,0,2,0,3,176000
527,928,0,0,1,0,2,132000
528,2713,1,0,2,1,3,446261
529,605,1,0,1,0,2,86000
530,2515,1,0,3,0,4,200624
531,1509,1,0,2,0,3,175000
532,1362,0,0,2,0,3,128000
533,827,0,0,1,0,2,107500
534,334,0,0,1,0,1,39300
535,1414,0,0,2,1,3,178000
536,1347,1,0,1,0,3,107500
537,1724,0,0,2,1,3,188000
538,864,0,0,1,0,3,111250
539,1159,0,0,1,1,3,158000
540,1601,1,0,2,0,3,272000
541,1838,1,0,2,0,2,315000
542,2285,0,0,2,1,4,248000
543,1680,1,0,2,0,3,213250
544,767,1,0,1,0,1,133000
545,1496,1,0,2,1,3,179665
546,2183,0,0,2,1,4,229000
547,1635,0,0,1,1,3,210000
548,768,1,0,1,0,2,129500
549,825,1,0,1,0,2,125000
550,2094,0,0,2,1,4,263000
551,1069,0,0,2,0,2,140000
552,928,0,0,1,0,3,112500
553,1717,0,0,2,0,3,255500
554,1126,0,0,2,0,2,108000
555,2046,1,0,2,1,3,284000
556,1048,0,0,1,0,2,113000
557,1092,1,0,1,0,2,141000
558,1336,0,0,1,1,3,108000
559,1446,0,1,2,1,3,175000
560,1557,0,0,2,0,2,234000
561,1392,1,0,1,1,3,121500
562,1389,1,0,1,0,2,170000
563,996,1,0,1,0,3,108000
564,1674,0,0,2,0,4,185000
565,2295,1,0,2,1,4,268000
566,1647,1,0,1,1,4,128000
567,2504,0,0,2,1,4,325000
568,1535,0,0,2,0,3,214000
569,2132,1,0,1,1,1,316600
570,943,1,0,1,0,2,135960
571,1728,0,0,2,0,6,142600
572,864,1,0,1,0,2,120000
573,1692,0,0,2,1,3,224500
574,1430,0,0,2,1,3,170000
575,1109,0,1,1,0,3,139000
576,1216,0,0,1,0,2,118500
577,1477,0,1,2,0,3,145000
578,1320,1,0,1,0,3,164500
579,1392,0,0,2,0,2,146000
580,1795,0,0,2,0,4,131500
581,1429,0,1,1,0,3,181900
582,2042,0,0,2,1,3,253293
583,816,1,0,1,0,3,118500
584,2775,0,0,3,1,3,325000
585,1573,0,0,1,0,3,133000
586,2028,1,0,2,0,2,369900
587,838,1,0,1,0,2,130000
588,860,1,0,1,0,2,137000
589,1473,2,0,1,0,1,143000
590,935,0,0,1,0,2,79500
591,1582,0,0,2,1,3,185900
592,2296,1,0,2,1,3,451950
593,816,1,0,1,0,2,138000
594,848,1,0,1,0,1,140000
595,924,0,0,1,0,3,110000
596,1826,1,0,2,0,3,319000
597,1368,0,0,1,0,3,114504
598,1402,0,2,0,2,2,194201
599,1647,1,0,2,0,3,217500
600,1556,1,0,2,1,3,151000
601,1904,1,0,2,1,3,275000
602,1375,0,0,1,1,3,141000
603,1915,1,0,2,1,3,220000
604,1200,0,0,2,1,2,151000
605,1494,1,0,2,0,3,221000
606,1986,0,0,2,1,3,205000
607,1040,1,0,1,0,3,152000
608,2008,1,0,3,0,3,225000
609,3194,0,0,2,1,4,359100
610,1029,1,0,1,0,3,118500
611,2153,1,0,2,1,3,313000
612,1032,0,1,2,0,3,148000
613,1872,1,0,2,1,3,261500
614,1120,0,0,1,0,3,147000
615,630,1,0,1,0,1,75500
616,1054,1,0,1,0,3,137500
617,1509,1,0,2,1,3,183200
618,832,0,0,1,0,2,105500
619,1828,0,0,2,0,3,314813
620,2262,1,0,2,1,4,305000
621,864,1,0,1,0,2,67000
622,2614,0,0,2,1,4,240000
623,980,0,0,1,0,3,135000
624,1512,0,0,2,1,2,168500
625,1790,1,0,1,2,4,165150
626,1116,0,0,1,1,3,160000
627,1422,0,0,1,0,3,139900
628,1520,1,0,1,0,3,153000
629,2080,0,1,1,2,5,135000
630,1350,1,0,1,1,3,168500
631,1750,0,0,1,0,3,124000
632,1554,0,0,2,0,2,209500
633,1411,0,0,2,0,3,82500
634,1056,0,1,1,0,3,139400
635,1056,2,0,0,0,0,144000
636,3395,0,0,2,0,8,200000
637,800,0,0,1,0,1,60000
638,1387,0,0,2,0,3,93000
639,796,0,0,1,0,2,85000
640,1567,1,0,2,0,1,264561
641,1518,0,0,1,1,1,274000
642,1929,1,0,2,1,3,226000
643,2704,1,0,2,1,4,345000
644,1620,0,0,2,1,4,152000
645,1766,1,0,2,1,2,370878
646,981,1,0,1,1,3,143250
647,1048,0,0,1,0,3,98300
648,1094,0,0,1,0,3,155000
649,1839,0,0,1,1,4,155000
650,630,1,0,1,0,1,84500
651,1665,0,0,2,1,3,205950
652,1510,1,0,1,0,4,108000
653,1716,0,0,2,1,2,191000
654,1469,0,0,1,0,3,135000
655,2113,1,0,2,1,2,350000
656,1092,0,0,1,1,3,88000
657,1053,1,0,1,1,3,145500
658,1502,0,0,1,1,3,149000
659,1458,0,1,1,0,3,97500
660,1486,1,0,1,0,3,167000
661,1935,0,0,2,1,3,197900
662,2448,1,0,2,1,4,402000
663,1392,1,0,1,0,2,110000
664,1181,1,0,2,0,3,137500
665,2097,1,0,1,1,1,423000
666,1936,0,0,2,1,3,230500
667,2380,0,0,2,1,3,129000
668,1679,1,0,2,0,3,193500
669,1437,1,0,1,1,3,168000
670,1180,0,0,1,0,2,137500
671,1476,1,0,2,1,3,173500
672,1369,1,0,2,0,3,103600
673,1208,1,0,1,1,3,165000
674,1839,1,0,2,0,3,257500
675,1136,1,0,1,0,3,140000
676,1441,0,0,2,1,3,148500
677,1774,1,0,2,0,4,87000
678,792,0,0,1,0,2,109500
679,2046,0,0,2,1,3,372500
680,988,1,0,1,0,3,128500
681,923,0,0,2,0,2,143000
682,1520,0,0,1,0,3,159434
683,1291,1,0,1,0,2,173000
684,1668,1,0,2,0,3,285000
685,1839,0,0,2,1,4,221000
686,2090,1,0,2,0,3,207500
687,1761,0,0,3,0,3,227875
688,1102,0,0,2,1,2,148800
689,1419,1,0,2,0,2,392000
690,1362,0,0,2,0,2,194700
691,848,1,0,1,0,1,141000
692,4316,0,1,3,1,4,755000
693,2519,1,0,2,1,4,335000
694,1073,0,0,1,0,2,108480
695,1539,0,0,1,1,3,141500
696,1137,1,0,2,0,2,176000
697,616,0,0,1,0,2,89000
698,1148,0,1,1,0,2,123500
699,894,1,0,1,0,3,138500
700,1391,0,0,2,0,2,196000
701,1800,1,0,2,0,3,312500
702,1164,0,0,1,1,3,140000
703,2576,0,0,2,1,4,361919
704,1812,0,0,2,0,4,140000
705,1484,1,0,2,0,3,213000
706,1092,0,0,2,0,3,55000
707,1824,1,0,2,0,2,302000
708,1324,1,0,2,0,2,254000
709,1456,0,0,2,1,3,179540
710,904,0,0,1,0,3,109900
711,729,0,0,1,0,2,52000
712,1178,0,0,1,0,2,102776
713,1228,1,0,2,0,2,189000
714,960,1,0,1,0,3,129000
715,1479,0,0,2,1,3,130500
716,1350,0,0,2,0,3,165000
717,2554,0,0,1,1,3,159500
718,1178,0,1,1,1,3,157000
719,2418,1,0,2,1,3,341000
720,971,0,0,1,1,3,128500
721,1742,1,0,2,0,2,275000
722,848,1,0,1,0,1,143000
723,864,0,0,1,0,3,124500
724,1470,0,0,2,0,4,135000
725,1698,1,0,2,0,3,320000
726,864,0,0,1,0,3,120500
727,1680,1,0,2,0,3,222000
728,1232,1,0,2,0,2,194500
729,1776,1,0,2,0,4,110000
730,1208,0,0,1,0,2,103000
731,1616,1,0,2,0,2,236500
732,1146,1,0,2,0,3,187500
733,2031,0,0,2,1,3,222500
734,1144,1,0,1,0,3,131400
735,948,0,0,1,0,3,108000
736,1768,0,0,1,1,2,163000
737,1040,0,0,2,0,2,93500
738,1801,0,0,2,1,3,239900
739,1200,3,0,3,0,3,179000
740,1728,0,0,2,1,3,190000
741,1432,0,0,2,0,2,132000
742,912,1,1,1,0,3,142000
743,1349,0,0,2,0,3,179000
744,1464,0,1,2,0,3,175000
745,1337,1,0,2,0,2,180000
746,2715,0,1,3,1,4,299800
747,2256,0,0,2,1,4,236000
748,2640,0,0,1,1,4,265979
749,1720,1,0,2,0,3,260400
750,1529,0,0,2,0,4,98000
751,1140,0,0,1,0,3,96500
752,1320,0,0,2,1,3,162000
753,1494,1,0,2,0,3,217000
754,2098,0,0,2,1,3,275500
755,1026,1,0,1,0,3,156000
756,1471,0,0,2,1,3,172500
757,1768,0,0,2,1,3,212000
758,1386,0,0,2,1,3,158900
759,1501,0,0,2,1,3,179400
760,2531,0,0,2,1,4,290000
761,864,0,0,1,0,2,127500
762,1301,0,0,1,0,2,100000
763,1547,0,0,2,1,3,215200
764,2365,1,0,2,1,3,337000
765,1494,1,0,1,1,2,270000
766,1506,0,0,2,0,2,264132
767,1714,0,0,2,1,3,196500
768,1750,1,0,2,0,4,160000
769,1836,0,0,2,0,3,216837
770,3279,1,0,3,1,4,538000
771,858,1,0,1,0,2,134900
772,1220,0,0,1,0,2,102000
773,1117,1,0,1,0,3,107000
774,912,0,0,1,0,2,114500
775,1973,0,0,2,0,3,395000
776,1204,1,0,2,0,2,162000
777,1614,0,0,2,0,3,221500
778,894,1,0,1,0,3,142500
